address,name,block
0xE5Dada80Aa6477e85d09747f2842f7993D0Df71C,Dock Token,5127660
0xd0929d411954c47438dc1d871dd6081F5C5e149c,Refereum,4313345
0x0000000000095413afC295d19EDeb1Ad7B71c952,Tokenlon: LON Token,11494389
0x7B0C06043468469967DBA22d1AF33d77d44056c8,Morpheus.Network Token,5838376
0x57B946008913B82E4dF85f501cbAeD910e58D26C,Marlin: POND Token,11463091
0xCF3C8Be2e2C42331Da80EF210e9B1b307C03d36A,BetProtocol: BEPRO Token,10950415
0x168296bb09e24A88805CB9c33356536B980D3fC5,RChain Token,3383352
0xC86D054809623432210c107af2e3F619DcFbf652,Uppsala Token,5658889
0x1b40183EFB4Dd766f11bDa7A7c3AD8982e998421,Vesper Finance: Vesper Token,11835649
0x91Af0fBB28ABA7E31403Cb457106Ce79397FD4E6,Aergo: AERGO Token,10954411
0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359,Sai Stablecoin,4752008
0xa2791BdF2D5055Cda4d46EC17f9F429568275047,Nuls: NULS Token,10909756
0x940a2dB1B7008B6C776d4faaCa729d6d4A4AA551,Dusk Network: DUSK Token,6867115
0x0Ae055097C6d159879521C384F1D2123D1f195e6,xDai: STAKE Token,9877421
0xE0B7927c4aF23765Cb51314A0E0521A9645F0E2A,DigixDAO: DGD Token,1409121
0xb753428af26E81097e7fD17f40c88aaA3E04902c,Saffron: SFI Token,11163720
0x0202Be363B8a4820f3F4DE7FaF5224fF05943AB1,UniLend Finance: UFT Token,11023444
0x37E1160184F7dD29f00b78C050Bf13224780b0B0,,5308009
0xa3d58c4E56fedCae3a7c43A725aeE9A71F0ece4e,Metronome Token,5659904
0x9B02dD390a603Add5c07f9fd9175b7DABE8D63B7,Shopping.io: SPI Token,11380571
0x96E61422b6A9bA0e068B6c5ADd4fFaBC6a4aae27,Iron Bank Fixed Forex: ibEUR Token,12857615
0xad3E3Fc59dff318BecEaAb7D00EB4F68b1EcF195,Wrapped: wCUSD Token,11459608
0xf8C3527CC04340b208C854E985240c02F7B7793f,Frontier: FRONT Token,10841775
0xb683D83a532e2Cb7DFa5275eED3698436371cc9f,BTU Protocol: BTU Token,5589237
0xb17C88bDA07D28B3838E0c1dE6a30eAfBCF52D85,Shyft Network: SHFT Token,12730376
0x1796ae0b0fa4862485106a0de9b654eFE301D0b2,Polychain Monsters: PMON Token,12116821
0xEC213F83defB583af3A000B1c0ada660b1902A0F,Presearch: PRE Token,11070525
